Activate,Attiva
"Super attributes","Super attributi"
"Valid from","Valido dal"
"Valid to","Valido fino al"
Searchable,Ricercabile
Stock,Stock
"Sort order","Ordine di ordinamento"
"Assign bundled products","Assegna prodotti inclusi"
"Valid From (Time in UTC)","Valido da (Ora in UTC)"
"Valid To (Time in UTC)","Valido fino a (Ora in UTC)"
Remove,Rimuovi
quantity,Quantità
Price,Prezzo
"id product","ID Prodotto"
select,seleziona
"Product name","Nome Prodotto"
Types,Tipi
