Activate,Activeren
"Note: The SKU prefix, just like the SKUs of your product variants, are not editable after saving anymore.","Opmerking: Het SKU-voorvoegsel, net als de SKUs van uw productvarianten, kan niet meer worden bewerkt na het opslaan."
"Price & Tax","Prijs & Belasting"
"Price & Taxes","Prijs & Belastingen"
"Product bundle does not have variants!","Productbundel heeft geen varianten!"
"Product Group ID",Productgroep-ID
"Product Groups",Productgroepen
"Product has been activated.","Product is geactiveerd."
"Product has been deactivated.","Product is gedeactiveerd."
"Product ID",Product-ID
"Product Image(s)",Productafbeelding(en)
"Product type",Producttype
"Product variants",Productvarianten
Quantity,Aantal
Save,Opslaan
"Search engine optimization (SEO) is the process of affecting the visibility of a website or a web page in a web search engine's unpaid results — often referred to as ""natural,"" ""organic,"" or ""earned"" results.","Zoekmachineoptimalisatie (SEO) is het proces van het beïnvloeden van de zichtbaarheid van een website of een webpagina in de onbetaalde resultaten van een webzoekmachine, vaak aangeduid als ""natuurlijke"", ""organische"" of ""verdiende"" resultaten."
"Select attributes and corresponding values.","Selecteer attributen en bijbehorende waarden."
"SEO (Meta Information)","SEO (Meta-informatie)"
Small,Klein
"Stock Type",Voorraadtype
"Store relation",Winkelrelatie
"Tax Set",Belastinginstelling
"The product [%s] does not exist.","Het product [%s] bestaat niet."
"The product [%s] was saved successfully.","Het product [%s] is succesvol opgeslagen."
"The product [%s] you are trying to edit, does not exist.","Het product [%s] dat u probeert te bewerken, bestaat niet."
"There is no super attribute defined. <a href=""%url%"">Define super attributes</a> in order to be able to create variants.","Er is geen superattribuut gedefinieerd. <a href=""%url%"">Definieer superattributen</a> om varianten te kunnen maken."
Type,Type
Variants,Varianten
"View Product Abstract","Bekijk productabstract"
"View Product Concrete","Bekijk concreet product"
Product,Product
Products,Producten
Availability,Beschikbaarheid
"New from","Nieuw vanaf"
"New to","Nieuw tot"
"At least one price should be specified","Er moet ten minste één prijs worden opgegeven"
"Please enter at least an SKU and a Name of the product in every locale in the General section","Voer alstublieft ten minste een SKU en een naam van het product in elke taal in het gedeelte Algemeen in"
"The product [%s] was added successfully.","Het product [%s] is succesvol toegevoegd."
Images,Afbeeldingen
"Add Volume Price","Voeg volumeprijs toe"
"Is bundle","Is bundel"
"View Concrete Product","Bekijk concreet product"
"Edit Concrete Product","Bewerk concreet product"
"Super attributes",Superattributen
"Valid from","Geldig vanaf"
"Valid to","Geldig tot"
Searchable,Doorzoekbaar
Stock,Voorraad
"Sort order",Sorteervolgorde
"Assign bundled products","Toegewezen gebundelde producten"
"Valid From (Time in UTC)","Geldig vanaf (Tijd in UTC)"
"Valid To (Time in UTC)","Geldig tot (Tijd in UTC)"
Remove,Verwijderen
quantity,Aantal
Price,Prijs
"id product","Product ID"
select,selecteren
"Product name",Productnaam
Types,Types
