Attributes,Attributs
"Combination of super attribute values already exists.","La combinaison des valeurs d'attribut super existe déjà."
"This abstract product is not owned by this merchant.","Ce produit abstrait n'appartient pas à ce marchand."
"Invalid value provided. Please use only alphanumeric characters and  . - _","Valeur non valide fournie. Veuillez utiliser uniquement des caractères alphanumériques et . - _"
"This value needs to be unique.","Cette valeur doit être unique."
"This value already exists.","Cette valeur existe déjà."
"Success! %d Concrete Products are saved.","Succès ! %d produits en béton sont enregistrés."
"Success! %d Concrete Product is saved.","Succès ! %d produit en béton est enregistré."
"The approval status was updated.","Le statut d'approbation a été mis à jour"
"The approval status was not updated.","Le statut d'approbation n'a pas été mis à jour."
"Abstract product was not found.","Produit abstrait introuvable."
"Send for Approval","Envoyer pour approbation"
"Enter SKU","Entrer le SKU"
"Enter name","Entrer le nom"
"Select at least one value","Sélectionner au moins une valeur"
"Once this product is created, you will no longer be able to add additional concrete products.","Une fois ce produit créé, vous ne pourrez plus ajouter de produits en béton supplémentaires."
