Attributes,السمات
"Concrete Product SKU already exists","رقم SKU للمنتج الملموس موجود بالفعل"
"SKU Prefix already exists","بادئة SKU موجودة بالفعل"
"Abstract product has 1 concrete product","المنتج المجرد لديه منتج ملموس واحد"
"Abstract product has multiple concrete products","المنتج المجرد لديه عدة منتجات ملموسة"
"The value cannot be empty. Please select one.","لا يمكن أن تكون القيمة فارغة. يرجى تحديد واحدة."
"SKU Prefix","بادئة SKU"
"SKU Prefix already exists in collection","بادئة SKU موجودة بالفعل في المجموعة"
"Enter SKU prefix","أدخل بادئة SKU"
"Add Image Set","إضافة مجموعة صور"
"Set name","اسم المجموعة"
"Delete Image Set","حذف مجموعة الصور"
"Image Ordered","ترتيب الصورة"
"Small Image URL","عنوان URL للصورة الصغيرة"
"Large Image URL","عنوان URL للصورة الكبيرة"
"Add Image","إضافة صورة"
"Abstract Product","المنتج المجرد"
"Abstract Product Details","تفاصيل المنتج المجرد"
"Concrete Products","المنتجات الملموسة"
"The attribute %attribute% already exists. Please define another one","السمة %attribute% موجودة بالفعل. يرجى تحديد سمة أخرى"
"Please fill in at least one value","يرجى ملء قيمة واحدة على الأقل"
"Success! The Attribute is deleted","تم الحذف بنجاح! تم حذف السمة"
"The value cannot be blank. Please fill in this input","لا يمكن أن تكون القيمة فارغة. يرجى ملء هذا الحقل"
"Provide meta title","يرجى توفير عنوان فوق الصفحة"
"Provide meta keywords","يرجى توفير الكلمات الرئيسية الفوق الصفحة"
"Provide meta description","يرجى توفير وصف فوق الصفحة"
"Concrete Product","منتج ملموس"
"Concrete Product is active","منتج ملموس نشط"
"Use Abstract Product name for all locales","استخدم اسم المنتج المجرد لجميع اللغات"
"Use Abstract Product description for all locales","استخدم وصف المنتج المجرد لجميع اللغات"
"Use Abstract Product price for all locales","استخدم سعر المنتج المجرد لجميع اللغات"
"Use Abstract Product images for all locales","استخدم صور المنتج المجرد لجميع اللغات"
"Super attribute was not deleted","لم يتم حذف السمة الفائقة"
"Add Concrete Products","إضافة منتجات ملموسة"
Create,إنشاء
"This value should not be blank.","يجب ألا يكون هذا القيمة فارغة."
"Combination of super attribute values already exists.","توجد بالفعل مجموعة من قيم السمات الفائقة."
"This abstract product is not owned by this merchant.","هذا المنتج المجرد ليس مملوكًا لهذا التاجر."
"Invalid value provided. Please use only alphanumeric characters and  . - _","قيمة غير صالحة المقدمة. يرجى استخدام أحرف أبجدية رقمية فقط و . - _"
"This value needs to be unique.","هذه القيمة يجب أن تكون فريدة."
"This value already exists.","هذه القيمة موجودة بالفعل."
"Success! %d Concrete Products are saved.","تم حفظ %d منتج ملموس بنجاح."
"Success! %d Concrete Product is saved.","تم حفظ %d منتج ملموس بنجاح."
"The approval status was updated.","تم تحديث حالة الموافقة."
"The approval status was not updated.","لم يتم تحديث حالة الموافقة."
"Abstract product was not found.","لم يتم العثور على المنتج المجرد."
"Send for Approval","أرسل للموافقة"
"Enter SKU","أدخل SKU"
"Enter name","أدخل الاسم"
"Select at least one value","حدد قيمة واحدة على الأقل"
"Once this product is created, you will no longer be able to add additional concrete products.","بمجرد إنشاء هذا المنتج، لن تتمكن بعد ذلك من إضافة منتجات إسمنتية إضافية."
